gid	claimed_organism	top_match_lineage	containment	category	category_rationale	needs_action	top_match_genus	top_match_species	query_name_from_fasta	rename_source
24	Blind v2: Chloroflexus_aurantiacus	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Chloroflexus;s__Chloroflexus aurantiacus	1.0	CLEAN_SELF_MATCH	Claimed genus 'Chloroflexus' matches top-hit genus exactly; containment 1.000.	N	Chloroflexus	Chloroflexus aurantiacus	NC_010175.1 Chloroflexus aurantiacus J-10-fl, complete sequence	
25	Blind v2: Dehalococcoides_mccartyi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides mccartyi	1.0	CLEAN_SELF_MATCH	Claimed genus 'Dehalococcoides' matches top-hit genus exactly; containment 1.000.	N	Dehalococcoides	Dehalococcoides mccartyi	NC_002936.3 Dehalococcoides mccartyi 195, complete sequence	
26	AUDIT CORRECTION: re-process for gid=26 (was Brevibacillus brevis NBRC 100599 from start). Cluster gapseq via SLURM array 227930. biomass=Archaea [AUDIT CORRECTION 2026-05-05: re-downloaded + re-processed; previously gid=26 had wrong-genome data loaded from project start. Pre-correction state preserved in data/cultureforge.db.pre_audit_correction_20260504]	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Picrophilus;s__Picrophilus oshimae	0.7432778489116517	CLEAN_SELF_MATCH	Claimed genus 'Picrophilus' matches top-hit genus exactly; containment 0.743.	N	Picrophilus	Picrophilus oshimae	NC_005877.1 Picrophilus oshimae DSM 9789, complete sequence	
27	Blind v2: Thermotoga_maritima	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Thermotogaceae;g__Thermotoga;s__Thermotoga maritima	1.0	CLEAN_SELF_MATCH	Claimed genus 'Thermotoga' matches top-hit genus exactly; containment 1.000.	N	Thermotoga	Thermotoga maritima	NC_000853.1 Thermotoga maritima MSB8, complete sequence	
29	"Blind v2: Candidatus_Prometheoarchaeum_syntrophicum [AUDIT CORRECTION 2026-05-04: accession + file_path were pointing to a Methanoperedens file (GCA_900196725.1); corrected to GCA_008000775.1 (CP042905 = Promethearchaeum syntrophicum MK-D1) which matches loaded data. NCBI spells the genus ""Promethearchaeum""; original publication used ""Prometheoarchaeum""; both refer to Imachi et al. 2020 isolate.]"	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__Prometheoarchaeum syntrophicum	0.9653218495013599	CLEAN_SELF_MATCH	Claimed genus 'Prometheoarchaeum' matches top-hit genus exactly (claim used 'Candidatus' prefix; GTDB has assigned the formal genus name); containment 0.965.	N	Prometheoarchaeum	Prometheoarchaeum syntrophicum	CP042905.1 Candidatus Prometheoarchaeum syntrophicum strain MK-D1 chromosome, complete genome	
28	Blind v2: Candidatus_Methanoperedens_nitroreducens [AUDIT CORRECTION 2026-05-04: accession + file_path were pointing to a Salmonella file (GCA_000315995.1); corrected to GCA_900196725.1 (FZMP01 contigs = MNV_PRJEB20370_wgs = the actual loaded Methanoperedens data). Loaded marker BLAST + gapseq data is genuinely Methanoperedens; no re-validation needed. Phase 3.6 ANME findings stand.]	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens nitroreducens_A	1.0	CLEAN_SELF_MATCH	Claimed genus 'Methanoperedens' matches top-hit genus exactly (claim used 'Candidatus' prefix; GTDB has assigned the formal genus name); containment 1.000.	N	Methanoperedens	Methanoperedens nitroreducens_A	FZMP01000250.1 Candidatus Methanoperedens nitroreducens isolate Mnv1 genome assembly, contig: MNV_Contig_99, whole genome shotgun sequence	
30	AUDIT CORRECTION: re-process for gid=30. Original Scalindua profunda was unavailable; substituting Scalindua japonica husup-a2 MAG. Originally gid=30 had Salmonella enterica data from start. Cluster gapseq via SLURM array 227930. biomass=Gram_neg [AUDIT CORRECTION 2026-05-05: re-downloaded + re-processed; previously gid=30 had wrong-genome data loaded from project start. Pre-correction state preserved in data/cultureforge.db.pre_audit_correction_20260504]	d__Bacteria;p__Planctomycetota;c__Brocadiia;o__Brocadiales;f__Scalinduaceae;g__Scalindua;s__Scalindua japonica	1.0	CLEAN_SELF_MATCH	Claimed genus 'Scalindua' matches top-hit genus exactly (claim used 'Candidatus' prefix; GTDB has assigned the formal genus name); containment 1.000.	N	Scalindua	Scalindua japonica	NZ_BAOS01000001.1 Candidatus Scalindua japonica strain husup-a2, whole genome shotgun sequence	
31	Phase 1.5k validation organism - reverse-dsr sulfide oxidizer	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thermochromatium;s__Thermochromatium vinosum	1.0	KNOWN_TAXONOMIC_RENAME	Formal genus reclassification: 'Allochromatium' -> 'Thermochromatium' (GTDB R226 reclass.). Not curator-flagged in notes; documentation update suggested.	Y	Thermochromatium	Thermochromatium vinosum	NC_013851.1 Allochromatium vinosum DSM 180, complete sequence	discovered-this-analysis
900	SENTINEL: Methylococcus capsulatus Bath (Phase 3.5 sentinel validation; NOT included in V12 validation pass; remove or relabel after validation)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylococcus;s__Methylococcus capsulatus	0.7431192660550459	CLEAN_SELF_MATCH	Claimed genus 'Methylococcus' matches top-hit genus exactly; containment 0.743.	N	Methylococcus	Methylococcus capsulatus	NC_002977.6 Methylococcus capsulatus str. Bath, complete sequence	
32	Validation organism: Escherichia_coli (restored Phase 4.1 after blind-test load_gapseq.py mishap)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	0.45732797140303844	CLEAN_SELF_MATCH	Claimed genus 'Escherichia' matches top-hit genus exactly; containment 0.457.	N	Escherichia	Escherichia coli	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	
1001	Phase 5.0 SMOKE TEST: Candidatus Brocadia sinica JPN1 (anammox). biomass=Gram_neg	d__Bacteria;p__Planctomycetota;c__Brocadiia;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia sinica	1.0	CLEAN_SELF_MATCH	Claimed genus 'Brocadia' matches top-hit genus exactly (claim used 'Candidatus' prefix; GTDB has assigned the formal genus name); containment 1.000.	N	Brocadia	Brocadia sinica	BAFN01000003.1 Candidatus Brocadia sinica JPN1 DNA, contig: brosiC, whole genome shotgun sequence	
1000	BLIND TEST: bin.020 PacBio assembly via Phase 4.1 wrapper (load-step replay after filename-resolution fix; gapseq output reused from prior run)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Thiovulaceae;g__Thiovulum_A;s__Thiovulum_A sp000276965	0.8767123287671232	NEEDS_REVIEW	Claimed genus '' vs GTDB top-hit genus 'Thiovulum_A' (Thiovulum_A sp000276965); containment 0.877. Does not fit suffix-split, known-rename, placeholder, or self-match patterns — requires manual inspection.	Y	Thiovulum_A	Thiovulum_A sp000276965	scaffold_41_c1	
1002	Phase 5.0 main: Candidatus Brocadia fulgida [nitrogen_metabolism]. biomass=Gram_neg	d__Bacteria;p__Planctomycetota;c__Brocadiia;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia fulgida	0.9932944606413994	CLEAN_SELF_MATCH	Claimed genus 'Brocadia' matches top-hit genus exactly (claim used 'Candidatus' prefix; GTDB has assigned the formal genus name); containment 0.993.	N	Brocadia	Brocadia fulgida	LAQJ01000001.1 MAG: Candidatus Brocadia fulgida isolate RU1 BROFUL_contig000001, whole genome shotgun sequence	
1004	Phase 5.0 main: Candidatus Electrothrix communis [cable_bacteria]. biomass=Gram_neg	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__Electrothrix communis	0.7842761265580057	CLEAN_SELF_MATCH	Claimed genus 'Electrothrix' matches top-hit genus exactly (claim used 'Candidatus' prefix; GTDB has assigned the formal genus name); containment 0.784.	N	Electrothrix	Electrothrix communis	MTKP01000001.1 Candidatus Electrothrix communis isolate A1 Contig1001, whole genome shotgun sequence	
1003	Phase 5.0 main: Candidatus Phosphitivorax anaerolimi [phosphate_metabolism]. biomass=Gram_neg	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__UBA1062 sp001896555	1.0	CANDIDATUS_PLACEHOLDER	Claimed Candidatus organism; GTDB placeholder genus 'UBA1062' (not yet formally classified). Cohort accession (GCA_001896555.1) matches the GTDB rep accession exactly — literally the same source sequence.	N	UBA1062	UBA1062 sp001896555	MPOS01000029.1 MAG: Deltaproteobacteria bacterium Phox-21 k99_10275, whole genome shotgun sequence	
1005	Phase 5.0 main: Candidatus Methanocomedens sp. (ANME-2a lineage) [methane_metabolism]. biomass=Archaea	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanocomedenaceae;g__Methanocomedens;s__Methanocomedens sp009649835	1.0	CLEAN_SELF_MATCH	Claimed genus 'Methanocomedens' matches top-hit genus exactly (claim used 'Candidatus' prefix; GTDB has assigned the formal genus name); containment 1.000.	N	Methanocomedens	Methanocomedens sp009649835	PYCK01000246.1 MAG: Candidatus Methanocomedens sp. isolate S7142MS1 2a_fsr_manual, whole genome shotgun sequence	
1006	Phase 5.0 main: Candidatus Methanophaga sp. AG-394-G06 (ANME-1 lineage) [methane_metabolism]. biomass=Archaea	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Alkanophagales;f__Methanospirareceae;g__QENH01;s__QENH01 sp009903405	1.0	CANDIDATUS_PLACEHOLDER	Claimed Candidatus organism; GTDB placeholder genus 'QENH01' (not yet formally classified). Cohort accession (GCA_009903405.1) matches the GTDB rep accession exactly — literally the same source sequence.	N	QENH01	QENH01 sp009903405	PRCZ01000100.1 ANME-1 cluster archaeon AG-394-G06 NODE_100_length_2574_cov_3.01906, whole genome shotgun sequence	
1008	Phase 5.0 main: Candidatus Electronema palustre [cable_bacteria]. biomass=Gram_neg			NO_CLOSE_MATCH_EXPECTED	No GTDB RS226 hit returned; claimed organism is a Candidatus lineage (under-represented in cultured/reference databases).	N				
1007	Phase 5.0 main: Candidatus Methanovorans sp. (ANME-3 lineage) [methane_metabolism]. biomass=Archaea	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__DQIP01;s__DQIP01 sp020793565	1.0	CANDIDATUS_PLACEHOLDER	Claimed Candidatus organism; GTDB placeholder genus 'DQIP01' (not yet formally classified). Cohort accession (GCA_020793565.1) matches the GTDB rep accession exactly — literally the same source sequence.	N	DQIP01	DQIP01 sp020793565	DQIP01000236.1 MAG TPA_asm: Candidatus Methanovorans sp. isolate HMMV ANME3_1, whole genome shotgun sequence	
1009	Phase 5.0 main: Lactococcus lactis subsp. lactis IL1403 [fermentation]. biomass=Gram_neg	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	0.7225806451612903	CLEAN_SELF_MATCH	Claimed genus 'Lactococcus' matches top-hit genus exactly; containment 0.723.	N	Lactococcus	Lactococcus lactis	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence	
1011	Phase 5.0 main: Methanopyrus kandleri AV19 [methane_metabolism]. biomass=Archaea	d__Archaea;p__Methanobacteriota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri	1.0	CLEAN_SELF_MATCH	Claimed genus 'Methanopyrus' matches top-hit genus exactly; containment 1.000.	N	Methanopyrus	Methanopyrus kandleri	NC_003551.1 Methanopyrus kandleri AV19, complete sequence	
1010	Phase 5.0 main: Chlorobaculum tepidum TLS [phototrophy]. biomass=Gram_neg	d__Bacteria;p__Bacteroidota_A;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum tepidum	1.0	CLEAN_SELF_MATCH	Claimed genus 'Chlorobaculum' matches top-hit genus exactly; containment 1.000.	N	Chlorobaculum	Chlorobaculum tepidum	NC_002932.3 Chlorobaculum tepidum TLS, complete sequence	
1012	Phase 5.0 main: Pyrococcus furiosus DSM 3638 [extreme_archaea]. biomass=Archaea	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus furiosus	1.0	CLEAN_SELF_MATCH	Claimed genus 'Pyrococcus' matches top-hit genus exactly; containment 1.000.	N	Pyrococcus	Pyrococcus furiosus	NC_003413.1 Pyrococcus furiosus DSM 3638, complete sequence	
1014	Phase 5.0 main: Aquifex aeolicus VF5 [carbon_fixation]. biomass=Gram_neg	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Aquifex;s__Aquifex aeolicus	1.0	CLEAN_SELF_MATCH	Claimed genus 'Aquifex' matches top-hit genus exactly; containment 1.000.	N	Aquifex	Aquifex aeolicus	NC_000918.1 Aquifex aeolicus VF5, complete sequence	
1013	Phase 5.0 main: Geobacter sulfurreducens PCA [iron_metals]. biomass=Gram_neg	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter sulfurreducens	1.0	CLEAN_SELF_MATCH	Claimed genus 'Geobacter' matches top-hit genus exactly; containment 1.000.	N	Geobacter	Geobacter sulfurreducens	NC_002939.5 Geobacter sulfurreducens PCA, complete sequence	
1015	Phase 5.0 main: Archaeoglobus fulgidus VC-16 [sulfur_metabolism]. biomass=Archaea	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus fulgidus	1.0	CLEAN_SELF_MATCH	Claimed genus 'Archaeoglobus' matches top-hit genus exactly; containment 1.000.	N	Archaeoglobus	Archaeoglobus fulgidus	NC_000917.1 Archaeoglobus fulgidus DSM 4304, complete sequence	
1016	Phase 5.0 main: Clostridium acetobutylicum ATCC 824 [fermentation]. biomass=Gram_neg	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_S;s__Clostridium_S acetobutylicum	1.0	GTDB_SUFFIX_SPLIT	GTDB has split the polyphyletic genus 'Clostridium' into sub-genera using letter suffixes; this genome falls into 'Clostridium_S'. Species name aligns.	N	Clostridium_S	Clostridium_S acetobutylicum	NC_003030.1 Clostridium acetobutylicum ATCC 824, complete sequence	
1017	Phase 5.0 main: Nostoc sp. PCC 7120 [nitrogen_metabolism]. biomass=Gram_neg	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705	1.0	KNOWN_TAXONOMIC_RENAME	Formal genus reclassification: 'Nostoc' -> 'Trichormus' (GTDB R220 reclass.). Not curator-flagged in notes; documentation update suggested.	N	Trichormus	Trichormus sp000009705	NC_003272.1 Nostoc sp. PCC 7120 = FACHB-418, complete sequence	curator-flagged
1018	Phase 5.0 main: Synechocystis sp. PCC 6803 [phototrophy]. biomass=Gram_neg	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Synechocystis;s__Synechocystis sp000284455	0.9087889626980071	CLEAN_SELF_MATCH	Claimed genus 'Synechocystis' matches top-hit genus exactly; containment 0.909.	N	Synechocystis	Synechocystis sp000284455	NC_000911.1 Synechocystis sp. PCC 6803, complete sequence	
1019	Phase 5.0 main: Thermococcus kodakarensis KOD1 [extreme_archaea]. biomass=Archaea	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus kodakarensis	1.0	CLEAN_SELF_MATCH	Claimed genus 'Thermococcus' matches top-hit genus exactly; containment 1.000.	N	Thermococcus	Thermococcus kodakarensis	NC_006624.1 Thermococcus kodakarensis KOD1, complete sequence	
1020	Phase 5.0 main: Paramagnetospirillum magneticum AMB-1 [magnetotaxis]. biomass=Gram_neg	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Paramagnetospirillum;s__Paramagnetospirillum magneticum	1.0	CLEAN_SELF_MATCH	Claimed genus 'Paramagnetospirillum' matches top-hit genus exactly; containment 1.000.	N	Paramagnetospirillum	Paramagnetospirillum magneticum	NC_007626.1 Paramagnetospirillum magneticum AMB-1, complete sequence	
1021	Phase 5.0 main: Microcystis aeruginosa NIES-843 [phototrophy]. biomass=Gram_neg	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa	1.0	CLEAN_SELF_MATCH	Claimed genus 'Microcystis' matches top-hit genus exactly; containment 1.000.	N	Microcystis	Microcystis aeruginosa	NC_010296.1 Microcystis aeruginosa NIES-843, complete sequence	
1022	Phase 5.0 main: Hydrogenobacter thermophilus TK-6 [sulfur_metabolism]. biomass=Gram_neg	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Hydrogenobacter;s__Hydrogenobacter thermophilus	1.0	CLEAN_SELF_MATCH	Claimed genus 'Hydrogenobacter' matches top-hit genus exactly; containment 1.000.	N	Hydrogenobacter	Hydrogenobacter thermophilus	NC_013799.1 Hydrogenobacter thermophilus TK-6, complete sequence	
1023	Phase 5.0 main: Bradyrhizobium diazoefficiens USDA 110 [nitrogen_metabolism]. biomass=Gram_neg	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium diazoefficiens	1.0	CLEAN_SELF_MATCH	Claimed genus 'Bradyrhizobium' matches top-hit genus exactly; containment 1.000.	N	Bradyrhizobium	Bradyrhizobium diazoefficiens	NC_004463.1 Bradyrhizobium diazoefficiens USDA 110, complete sequence	
