
Inhibitor,Target_metabolism_or_organism,Mechanism_or_notes,Citation
Dicyandiamide (DCD),Ammonia oxidation (nitrification) by AOB and comammox Nitrospira,Nitrification inhibitor that deactivates the ammonia monooxygenase enzyme; reduces growth of ammonia‑oxidizing bacteria and comammox Nitrospira.,"A Frontiers in Microbiology review notes that the nitrification inhibitor dicyandiamide (DCD) inhibits the growth of ammonia‑oxidizing bacteria by deactivating the ammonia monooxygenase enzyme, and DCD decreased the growth of comammox Nitrospira in microcosm studieshttps://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.1048735/full#:~:text=Little%20is%20known%20about%20the,addition%20of%20nitrogen%20fertilizers%20but."
"3,4‑Dimethylpyrazole phosphate (DMPP)",Ammonia oxidation by AOB,"Heterocyclic nitrification inhibitor that targets ammonia‑oxidizing bacteria (AOB); decreases AOB abundance and metabolic activity, slowing conversion of NH₄⁺ to NO₃⁻. DMPP adsorbs to soil particles and is more effective in alkaline soils.",A 2016 Applied and Environmental Microbiology study showed that DMPP inhibited ammonia oxidation and nitrous oxide production in alkaline vegetable soil by reducing AOB abundance and metabolic activity; the inhibitor had little effect in acidic pasture soil due to adsorption to soil particleshttps://pmc.ncbi.nlm.nih.gov/articles/PMC4988206/.
Nitrapyrin (2‑chloro‑6‑(trichloromethyl)pyridine),Ammonia oxidation (nitrification),"Widely used nitrification inhibitor; inhibits the microbial enzyme ammonia monooxygenase (AMO), the first step in nitrification. Works by binding to the AMO enzyme and blocking oxidation of NH₄⁺ to NH₂OH.","A U.S. Geological Survey review notes that in soils and water, nitrapyrin inhibits the activity of ammonia monooxygenase, the microbial enzyme that catalyzes the first step of nitrification from ammonium to nitritehttps://pubs.usgs.gov/publication/70217226#:~:text=Agricultural%20production%20and%20associated%20applications,range%20from%20reduced%20nitrate%20leaching."
Acetylene (C₂H₂),Ammonia oxidation (bacterial and archaeal AMO); Anammox; Denitrification (N₂O reductase),"Alkyne gas that irreversibly inactivates ammonia monooxygenase by forming a covalent adduct; used at low partial pressures to inhibit nitrification. It also inhibits anaerobic ammonium oxidation (anammox) and nitrous oxide reductase in denitrification. In anammox assays, ~30 µM acetylene caused 95% inhibition of ammonium oxidation. Acetylene blocks nitrous oxide reductase, preventing N₂O reduction to N₂.","Research on ammonia monooxygenase shows that acetylene and 1‑alkynes irreversibly inhibit AMO by forming a covalent adducthttps://pmc.ncbi.nlm.nih.gov/articles/PMC7170481/#:~:text=different%20nuclearities%20located%20on%20separate,50%E2%80%93%20%2052. In marine sediments, acetylene inhibited ammonium oxidation through the anammox pathway with a rate decay constant of 0.10 µM⁻¹ and 95% inhibition at ~30 µMhttps://pmc.ncbi.nlm.nih.gov/articles/PMC1907100/#:~:text=The%20effects%20of%20three%20metabolic,thus%203%20to%204%20mM. Acetylene also blocks the action of nitrous oxide reductase, so N₂O becomes the terminal product of denitrificationhttps://pmc.ncbi.nlm.nih.gov/articles/PMC2725510/#:~:text=20%20%2C%20%2042,be%20quantified%20by%20gas%20chromatography."
"1‑Alkynes (e.g., 1‑hexyne, 1‑octyne, phenylacetylene)",Ammonia oxidation (bacterial and archaeal AMO),Terminal alkynes that act as suicide inhibitors of ammonia monooxygenase; they form a covalent adduct at the active site and different chain lengths show differential inhibition between bacterial and archaeal AMOs.,A review of ammonia monooxygenase inhibition reports that 1‑alkynes (C₂–C₈) irreversibly inhibit the enzyme by forming a covalent adduct; archaeal AMO showed differential sensitivity to chain length and phenylacetylene compared with bacterial AMOhttps://pmc.ncbi.nlm.nih.gov/articles/PMC7170481/#:~:text=different%20nuclearities%20located%20on%20separate,50%E2%80%93%20%2052.
Phenylacetylene and other terminal alkynes,Ammonia oxidation (archaea and bacteria),"Terminal alkynes that inactivate ammonia monooxygenase; phenylacetylene exhibited differential inhibition, affecting archaeal AMO more strongly than bacterial AMO.",The same study reports that phenylacetylene and other 1‑alkynes inhibit ammonia monooxygenase and that archaeal AMO is more sensitive to certain alkynes than bacterial AMOhttps://pmc.ncbi.nlm.nih.gov/articles/PMC7170481/#:~:text=different%20nuclearities%20located%20on%20separate,50%E2%80%93%20%2052.
2‑Bromoethanesulfonate (BES),Methanogenesis (methanogenic archaea),Structural analog of coenzyme M; acts as a suicide substrate for the coenzyme M methyl transferase in methanogens. At 1 µmol/ml BES completely inhibits methanogenesis from acetate and at 50 µmol/ml it inhibits hydrogenotrophic methanogenesis.,An early AEM study showed that 1 µmol/mL BES completely inhibited methanogenesis from acetate in a thermophilic anaerobic digester and that 50 µmol/mL BES was needed to inhibit CO₂ reduction to methanehttps://pmc.ncbi.nlm.nih.gov/articles/PMC240241/#:~:text=The%20effects%20of%202,2%7D%2C%20and%20ethanol.
Bromochloromethane (BCM),Methanogenesis (methanogenic archaea),"Halomethane that reacts with cobalamin (vitamin B₁₂) and other corrinoid coenzymes in methanogens, blocking methyl transfer reactions. Used in ruminant and gut microbiome studies to suppress methane production.",A 2016 Applied and Environmental Microbiology article reports that bromochloromethane is an inhibitor of methanogenesis; it acts by reacting with cobalamin and reduces methanogen abundance in the rat guthttps://pmc.ncbi.nlm.nih.gov/articles/PMC4725281/.
Methyl fluoride (CH₃F),Methane oxidation (methanotrophy) and methanogenesis (at high concentrations),Halomethane used to selectively inhibit aerobic methane oxidation. At ~1 kPa it inhibits methane oxidation and also inhibits aceticlastic methanogens; at lower concentrations it suppresses methanotrophy more than methanogenesis.,"A 1997 AEM study found that about 1 kPa methyl fluoride inhibited aerobic methane oxidation and methane production in aceticlastic methanogens, but at lower concentrations it selectively inhibited methanotrophy while methanogenesis was less affectedhttps://pmc.ncbi.nlm.nih.gov/articles/PMC1389292/."
Difluoromethane (CH₂F₂),Methane oxidation (methanotrophy),Halomethane that reversibly inhibits methane monooxygenase at low partial pressures (~0.03 kPa). It blocks methane oxidation by methanotrophs without affecting methanogenesis.,"A 1998 AEM article showed that difluoromethane at low partial pressures (0.03 kPa) reversibly inhibited methane oxidation in Methylococcus capsulatus and in soils without affecting methanogenesis, making it an improved selective inhibitor of methanotrophyhttps://pmc.ncbi.nlm.nih.gov/articles/PMC106652/#:~:text=Difluoromethane%20%28HFC,low%20concentrations%2C%20its%20lack%20of."
Methanol,Anaerobic ammonium oxidation (anammox),Low‑molecular‑weight alcohol that specifically inhibits anammox bacteria. A decay constant of ~0.79 mM⁻¹ means 3–4 mM methanol is required for nearly complete inhibition; this concentration can stimulate denitrification.,"In an experiment on marine sediment, methanol specifically inhibited anammox with a decay constant of 0.79 mM⁻¹; 3–4 mM methanol was required for nearly complete inhibition and this level stimulated denitrificationhttps://pmc.ncbi.nlm.nih.gov/articles/PMC1907100/#:~:text=constant%2C%200,the%20process%20in%20wastewater%20bioreactors."
Korormicin A,"Na⁺‑translocating NADH‑quinone oxidoreductase (Na‑NQR) in Gram‑negative bacteria (e.g., Vibrio cholerae)","Natural antibiotic from pseudoalteromonads that specifically binds the Na‑pumping NADH:quinone oxidoreductase (Na‑NQR). Binding disrupts electron transport and promotes formation of reactive oxygen species, leading to death of bacteria possessing Na‑NQR. Korormicin is potent against Vibrio cholerae and other pathogens that rely on Na‑NQR but has little effect on organisms lacking the enzyme.","A 2019 Journal of Bacteriology study reports that Korormicin is a potent and specific inhibitor of the Na⁺‑translocating NADH:quinone oxidoreductase (Na‑NQR) complex. Binding to Na‑NQR promotes formation of reactive oxygen species, and the inhibitor is effective against pathogens that rely on Na‑NQR, including Vibrio choleraehttps://pmc.ncbi.nlm.nih.gov/articles/PMC6509656/#:~:text=only%20in%20prokaryotes%2C%20the%20Na%2B,2S%20center%20cofactors%20with%20O_%7B2."
Acetylene (C₂H₂) – repeated for methanotrophy,Methane oxidation (methanotrophs),Also acts as an inhibitor of methane monooxygenase; used to measure methane oxidation rates. At certain partial pressures it inhibits methane oxidation more than methanogenesis.,The 1997 AEM study notes that acetylene (like other alkynes) irreversibly inhibits ammonia monooxygenase; acetylene is also used to inhibit methane oxidation in methanotrophic assays and can affect methanogenesis at higher concentrationshttps://pmc.ncbi.nlm.nih.gov/articles/PMC1389292/https://pmc.ncbi.nlm.nih.gov/articles/PMC7170481/#:~:text=different%20nuclearities%20located%20on%20separate,50%E2%80%93%20%2052.
Methanol (repeated) – already included,,,
